<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.19	08:45:00	145.848	145.859	145.414	145.427	2199	0	0
2024.08.19	09:00:00	145.427	145.546	145.188	145.390	3297	0	0
2024.08.19	09:15:00	145.399	145.545	145.275	145.475	3112	0	0
2024.08.19	09:30:00	145.475	145.547	145.270	145.496	2939	0	0
2024.08.19	09:45:00	145.496	145.882	145.474	145.874	2745	0	0
2024.08.19	10:00:00	145.875	145.951	145.704	145.792	3162	0	0
2024.08.19	10:15:00	145.792	145.867	145.674	145.805	2691	0	0
2024.08.19	10:30:00	145.805	146.255	145.762	146.246	2810	0	0
2024.08.19	10:45:00	146.246	146.256	146.049	146.105	2562	0	0
2024.08.19	11:00:00	146.104	146.195	145.904	146.047	2998	0	0
2024.08.19	11:15:00	146.048	146.158	145.968	146.117	2532	0	0
2024.08.19	11:30:00	146.117	146.230	146.039	146.085	2542	0	0
2024.08.19	11:45:00	146.085	146.107	145.944	146.079	2301	0	0
2024.08.19	12:00:00	146.079	146.170	146.041	146.157	2302	0	0
2024.08.19	12:15:00	146.158	146.165	146.015	146.064	2399	0	0
2024.08.19	12:30:00	146.064	146.119	145.964	146.110	2253	0	0
2024.08.19	12:45:00	146.110	146.281	146.074	146.272	2174	0	0
2024.08.19	13:00:00	146.272	146.439	146.267	146.404	2604	0	0
2024.08.19	13:15:00	146.404	146.482	146.381	146.452	2276	0	0
2024.08.19	13:30:00	146.452	146.522	146.316	146.335	2220	0	0
2024.08.19	13:45:00	146.335	146.368	146.242	146.352	2106	0	0
2024.08.19	14:00:00	146.351	146.388	146.274	146.332	2134	0	0
2024.08.19	14:15:00	146.332	146.356	146.131	146.170	2090	0	0
2024.08.19	14:30:00	146.170	146.234	146.150	146.219	2130	0	0
2024.08.19	14:45:00	146.219	146.223	146.026	146.040	2370	0	0
2024.08.19	15:00:00	146.040	146.100	145.933	146.090	2351	0	0
2024.08.19	15:15:00	146.089	146.162	146.010	146.162	2349	0	0
2024.08.19	15:30:00	146.162	146.230	146.122	146.196	2278	0	0
2024.08.19	15:45:00	146.196	146.269	146.159	146.216	2368	0	0
2024.08.19	16:00:00	146.216	146.528	146.216	146.470	2727	0	0
2024.08.19	16:15:00	146.474	146.578	146.344	146.377	2249	0	0
2024.08.19	16:30:00	146.377	146.502	146.305	146.478	2908	0	0
2024.08.19	16:45:00	146.478	146.513	146.370	146.397	2422	0	0
2024.08.19	17:00:00	146.397	146.677	146.191	146.559	3043	0	0
2024.08.19	17:15:00	146.559	146.605	146.422	146.428	2977	0	0
2024.08.19	17:30:00	146.428	146.451	146.253	146.264	2785	0	0
