<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.07	03:00:00	0.85736	0.85751	0.85717	0.85729	2795	0	50
2023.12.07	04:00:00	0.85727	0.85750	0.85722	0.85746	2082	0	50
2023.12.07	05:00:00	0.85747	0.85751	0.85732	0.85740	1384	0	50
2023.12.07	06:00:00	0.85740	0.85751	0.85730	0.85748	1358	0	50
2023.12.07	07:00:00	0.85749	0.85753	0.85739	0.85747	1310	0	50
2023.12.07	08:00:00	0.85746	0.85752	0.85712	0.85713	2034	0	50
2023.12.07	09:00:00	0.85713	0.85737	0.85651	0.85690	3899	0	50
2023.12.07	10:00:00	0.85691	0.85763	0.85633	0.85760	4623	0	50
2023.12.07	11:00:00	0.85760	0.85770	0.85644	0.85647	4350	0	50
2023.12.07	12:00:00	0.85645	0.85659	0.85567	0.85567	4189	0	50
2023.12.07	13:00:00	0.85565	0.85689	0.85545	0.85675	3921	0	50
2023.12.07	14:00:00	0.85677	0.85744	0.85635	0.85737	3773	0	50
2023.12.07	15:00:00	0.85735	0.85770	0.85710	0.85748	4957	0	50
2023.12.07	16:00:00	0.85749	0.85827	0.85721	0.85819	4498	0	50
2023.12.07	17:00:00	0.85817	0.85835	0.85744	0.85763	4431	0	50
2023.12.07	18:00:00	0.85761	0.85821	0.85758	0.85808	3270	0	50
2023.12.07	19:00:00	0.85809	0.85841	0.85757	0.85801	3668	0	50
2023.12.07	20:00:00	0.85802	0.85834	0.85771	0.85776	2745	0	50
2023.12.07	21:00:00	0.85775	0.85784	0.85749	0.85755	1900	0	50
2023.12.07	22:00:00	0.85756	0.85776	0.85748	0.85748	1489	0	50
2023.12.07	23:00:00	0.85747	0.85766	0.85695	0.85700	1358	0	50
2023.12.08	00:00:00	0.85672	0.85720	0.85549	0.85697	827	0	50
2023.12.08	01:00:00	0.85698	0.85729	0.85689	0.85714	894	0	50
2023.12.08	02:00:00	0.85716	0.85740	0.85700	0.85724	2765	0	50
2023.12.08	03:00:00	0.85725	0.85725	0.85683	0.85685	3818	0	50
2023.12.08	04:00:00	0.85684	0.85711	0.85668	0.85701	2236	0	50
2023.12.08	05:00:00	0.85700	0.85715	0.85685	0.85709	2254	0	50
2023.12.08	06:00:00	0.85708	0.85711	0.85648	0.85649	2140	0	50
2023.12.08	07:00:00	0.85648	0.85684	0.85641	0.85671	2352	0	50
2023.12.08	08:00:00	0.85672	0.85704	0.85665	0.85694	2989	0	50
2023.12.08	09:00:00	0.85693	0.85799	0.85684	0.85784	4301	0	50
2023.12.08	10:00:00	0.85785	0.85851	0.85778	0.85845	4611	0	50
2023.12.08	11:00:00	0.85845	0.85856	0.85756	0.85821	4509	0	50
2023.12.08	12:00:00	0.85822	0.85826	0.85704	0.85713	3706	0	50
2023.12.08	13:00:00	0.85712	0.85749	0.85650	0.85713	2982	0	50
2023.12.08	14:00:00	0.85714	0.85753	0.85682	0.85717	3402	0	50
2023.12.08	15:00:00	0.85714	0.85758	0.85643	0.85663	6647	0	50
2023.12.08	16:00:00	0.85664	0.85864	0.85664	0.85799	6140	0	50
2023.12.08	17:00:00	0.85745	0.85884	0.85745	0.85829	5371	0	50
2023.12.08	18:00:00	0.85830	0.85859	0.85697	0.85700	3262	0	50
2023.12.08	19:00:00	0.85701	0.85764	0.85697	0.85735	2776	0	50
2023.12.08	20:00:00	0.85733	0.85739	0.85693	0.85704	2456	0	50
2023.12.08	21:00:00	0.85705	0.85728	0.85700	0.85724	1816	0	50
2023.12.08	22:00:00	0.85725	0.85816	0.85724	0.85781	1628	0	50
2023.12.08	23:00:00	0.85782	0.85794	0.85756	0.85764	1433	0	50
2023.12.11	00:00:00	0.85729	0.85797	0.85671	0.85726	550	0	50
2023.12.11	01:00:00	0.85729	0.85800	0.85729	0.85750	1036	0	50
2023.12.11	02:00:00	0.85751	0.85815	0.85742	0.85811	2351	0	50
2023.12.11	03:00:00	0.85811	0.85832	0.85788	0.85824	3489	0	50
2023.12.11	04:00:00	0.85823	0.85836	0.85805	0.85829	2200	0	50
2023.12.11	05:00:00	0.85830	0.85840	0.85821	0.85837	927	0	50
2023.12.11	06:00:00	0.85836	0.85857	0.85832	0.85848	1068	0	50
2023.12.11	07:00:00	0.85849	0.85856	0.85839	0.85854	1396	0	50
2023.12.11	08:00:00	0.85855	0.85882	0.85844	0.85869	1934	0	50
2023.12.11	09:00:00	0.85869	0.85869	0.85756	0.85766	4038	0	50
2023.12.11	10:00:00	0.85766	0.85801	0.85702	0.85770	4668	0	50
2023.12.11	11:00:00	0.85771	0.85784	0.85694	0.85763	4236	0	50
2023.12.11	12:00:00	0.85762	0.85807	0.85678	0.85689	3948	0	50
2023.12.11	13:00:00	0.85689	0.85695	0.85529	0.85530	4033	0	50
2023.12.11	14:00:00	0.85531	0.85572	0.85504	0.85557	3372	0	50
2023.12.11	15:00:00	0.85556	0.85627	0.85546	0.85554	3276	0	50
2023.12.11	16:00:00	0.85555	0.85571	0.85491	0.85567	3643	0	50
2023.12.11	17:00:00	0.85566	0.85614	0.85510	0.85608	3458	0	50
2023.12.11	18:00:00	0.85607	0.85667	0.85580	0.85638	2961	0	50
2023.12.11	19:00:00	0.85637	0.85696	0.85623	0.85674	2987	0	50
2023.12.11	20:00:00	0.85675	0.85715	0.85668	0.85687	3642	0	50
2023.12.11	21:00:00	0.85686	0.85719	0.85676	0.85712	2295	0	50
2023.12.11	22:00:00	0.85711	0.85729	0.85704	0.85727	1865	0	50
2023.12.11	23:00:00	0.85725	0.85750	0.85710	0.85728	1358	0	50
2023.12.12	00:00:00	0.85682	0.85732	0.85568	0.85713	1308	0	50
2023.12.12	01:00:00	0.85713	0.85755	0.85709	0.85753	491	0	50
2023.12.12	02:00:00	0.85754	0.85756	0.85683	0.85692	1859	0	50
2023.12.12	03:00:00	0.85693	0.85698	0.85661	0.85670	2210	0	50
2023.12.12	04:00:00	0.85669	0.85687	0.85647	0.85653	1861	0	50
2023.12.12	05:00:00	0.85653	0.85666	0.85627	0.85630	1607	0	50
2023.12.12	06:00:00	0.85634	0.85642	0.85604	0.85605	1438	0	50
2023.12.12	07:00:00	0.85606	0.85630	0.85574	0.85630	2208	0	50
2023.12.12	08:00:00	0.85630	0.85691	0.85617	0.85690	2539	0	50
2023.12.12	09:00:00	0.85689	0.85805	0.85664	0.85786	4691	0	50
2023.12.12	10:00:00	0.85784	0.85955	0.85762	0.85944	4184	0	50
2023.12.12	11:00:00	0.85945	0.85973	0.85887	0.85898	3703	0	50
2023.12.12	12:00:00	0.85897	0.85929	0.85873	0.85894	3854	0	50
2023.12.12	13:00:00	0.85893	0.85945	0.85868	0.85885	3860	0	50
2023.12.12	14:00:00	0.85886	0.85948	0.85885	0.85909	3706	0	50
2023.12.12	15:00:00	0.85908	0.85957	0.85793	0.85913	6774	0	50
2023.12.12	16:00:00	0.85914	0.86085	0.85910	0.86015	6091	0	50
2023.12.12	17:00:00	0.86013	0.86022	0.85840	0.85859	4658	0	50
2023.12.12	18:00:00	0.85860	0.85990	0.85821	0.85981	3894	0	50
2023.12.12	19:00:00	0.85982	0.85995	0.85935	0.85992	3198	0	50
2023.12.12	20:00:00	0.85994	0.85999	0.85883	0.85914	3674	0	50
2023.12.12	21:00:00	0.85916	0.85920	0.85875	0.85886	2395	0	50
