<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.11.13	12:45:00	164.421	164.538	164.420	164.524	1186	0	0
2024.11.13	13:00:00	164.524	164.556	164.482	164.544	1466	0	0
2024.11.13	13:15:00	164.544	164.559	164.475	164.478	1142	0	0
2024.11.13	13:30:00	164.478	164.482	164.400	164.452	1238	0	0
2024.11.13	13:45:00	164.452	164.693	164.450	164.688	1940	0	0
2024.11.13	14:00:00	164.688	164.736	164.579	164.638	2067	0	0
2024.11.13	14:15:00	164.638	164.660	164.533	164.578	1640	0	0
2024.11.13	14:30:00	164.578	164.736	164.569	164.736	1686	0	0
2024.11.13	14:45:00	164.736	164.788	164.686	164.707	2242	0	0
2024.11.13	15:00:00	164.706	164.757	164.629	164.695	2620	0	0
2024.11.13	15:15:00	164.694	164.799	164.481	164.509	2345	0	0
2024.11.13	15:30:00	164.561	164.760	164.291	164.338	4626	0	0
2024.11.13	15:45:00	164.339	164.405	164.284	164.345	3550	0	0
2024.11.13	16:00:00	164.345	164.358	164.123	164.161	3189	0	0
2024.11.13	16:15:00	164.163	164.258	164.108	164.139	3143	0	0
2024.11.13	16:30:00	164.144	164.206	164.043	164.135	3439	0	0
2024.11.13	16:45:00	164.135	164.140	163.802	163.901	3969	0	0
2024.11.13	17:00:00	163.901	163.985	163.630	163.754	3763	0	0
2024.11.13	17:15:00	163.754	163.977	163.747	163.973	3352	0	0
2024.11.13	17:30:00	163.973	164.137	163.955	164.005	3687	0	0
2024.11.13	17:45:00	164.005	164.160	163.945	164.110	3376	0	0
2024.11.13	18:00:00	164.110	164.212	163.984	163.999	2991	0	0
2024.11.13	18:15:00	163.995	164.162	163.958	164.127	2414	0	0
2024.11.13	18:30:00	164.128	164.145	164.014	164.043	2495	0	0
2024.11.13	18:45:00	164.043	164.087	164.029	164.074	2213	0	0
2024.11.13	19:00:00	164.074	164.221	164.053	164.169	2433	0	0
2024.11.13	19:15:00	164.169	164.213	164.143	164.166	2203	0	0
2024.11.13	19:30:00	164.166	164.264	164.153	164.205	2240	0	0
2024.11.13	19:45:00	164.205	164.281	164.201	164.251	2220	0	0
2024.11.13	20:00:00	164.251	164.273	164.155	164.225	2333	0	0
2024.11.13	20:15:00	164.225	164.234	164.163	164.187	1707	0	0
2024.11.13	20:30:00	164.187	164.213	164.140	164.163	1845	0	0
2024.11.13	20:45:00	164.162	164.302	164.152	164.295	1847	0	0
2024.11.13	21:00:00	164.295	164.421	164.268	164.404	1662	0	0
2024.11.13	21:15:00	164.404	164.411	164.301	164.389	1798	0	0
2024.11.13	21:30:00	164.389	164.398	164.280	164.335	1780	0	0
2024.11.13	21:45:00	164.335	164.349	164.287	164.339	1693	0	0
2024.11.13	22:00:00	164.339	164.359	164.300	164.316	1748	0	0
2024.11.13	22:15:00	164.316	164.339	164.291	164.328	1521	0	0
2024.11.13	22:30:00	164.328	164.360	164.314	164.351	1313	0	0
2024.11.13	22:45:00	164.351	164.354	164.284	164.335	1722	0	0
2024.11.13	23:00:00	164.336	164.362	164.297	164.347	1001	0	0
2024.11.13	23:15:00	164.347	164.348	164.193	164.207	925	0	0
2024.11.13	23:30:00	164.207	164.298	164.199	164.275	903	0	0
2024.11.13	23:45:00	164.275	164.278	164.208	164.244	824	0	0
2024.11.14	00:00:00	164.212	164.212	164.082	164.149	142	0	55
2024.11.14	00:15:00	164.149	164.170	163.951	164.147	91	0	99
2024.11.14	00:30:00	164.147	164.187	164.040	164.186	48	0	16
2024.11.14	00:45:00	164.186	164.199	164.096	164.138	159	0	29
2024.11.14	01:00:00	164.138	164.173	164.088	164.088	543	0	0
2024.11.14	01:15:00	164.088	164.175	164.088	164.169	762	0	1
2024.11.14	01:30:00	164.169	164.251	164.166	164.185	682	0	0
2024.11.14	01:45:00	164.185	164.215	164.124	164.212	947	0	0
2024.11.14	02:00:00	164.211	164.360	164.201	164.356	1954	0	0
2024.11.14	02:15:00	164.356	164.405	164.320	164.401	1200	0	0
2024.11.14	02:30:00	164.402	164.495	164.356	164.493	1384	0	0
2024.11.14	02:45:00	164.493	164.591	164.439	164.526	2260	0	0
2024.11.14	03:00:00	164.526	164.584	164.441	164.560	2606	0	0
2024.11.14	03:15:00	164.559	164.624	164.469	164.479	1851	0	0
2024.11.14	03:30:00	164.478	164.561	164.435	164.486	1672	0	0
2024.11.14	03:45:00	164.486	164.600	164.474	164.536	1756	0	0
2024.11.14	04:00:00	164.536	164.561	164.505	164.537	1431	0	0
2024.11.14	04:15:00	164.540	164.558	164.486	164.542	1216	0	0
2024.11.14	04:30:00	164.542	164.609	164.527	164.593	1150	0	0
