<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.04	21:30:00	205.737	205.755	205.730	205.755	171	0	6
2024.07.04	21:45:00	205.755	205.785	205.755	205.785	92	0	2
2024.07.04	22:00:00	205.785	205.789	205.724	205.724	250	0	0
2024.07.04	22:15:00	205.724	205.730	205.689	205.706	290	0	0
2024.07.04	22:30:00	205.706	205.709	205.672	205.673	165	0	4
2024.07.04	22:45:00	205.673	205.743	205.669	205.725	241	0	1
2024.07.04	23:00:00	205.726	205.794	205.726	205.776	451	0	4
2024.07.04	23:15:00	205.776	205.801	205.740	205.746	365	0	0
2024.07.04	23:30:00	205.746	205.783	205.738	205.751	355	0	13
2024.07.04	23:45:00	205.751	205.769	205.714	205.718	200	0	9
2024.07.05	00:00:00	205.614	205.777	205.614	205.752	75	0	90
2024.07.05	00:15:00	205.734	205.749	205.562	205.633	117	0	102
2024.07.05	00:30:00	205.633	205.706	205.592	205.661	261	0	72
2024.07.05	00:45:00	205.661	205.757	205.618	205.711	363	0	68
2024.07.05	01:00:00	205.711	205.727	205.647	205.701	538	0	0
2024.07.05	01:15:00	205.701	205.714	205.662	205.694	497	0	0
2024.07.05	01:30:00	205.694	205.745	205.680	205.716	237	0	3
2024.07.05	01:45:00	205.716	205.743	205.711	205.733	112	0	5
2024.07.05	02:00:00	205.734	205.748	205.707	205.728	310	0	0
2024.07.05	02:15:00	205.728	205.799	205.722	205.782	316	0	4
2024.07.05	02:30:00	205.782	205.844	205.779	205.833	460	0	0
2024.07.05	02:45:00	205.833	205.856	205.804	205.805	615	0	0
2024.07.05	03:00:00	205.805	205.853	205.703	205.733	1436	0	0
2024.07.05	03:15:00	205.733	205.771	205.613	205.663	1095	0	0
2024.07.05	03:30:00	205.663	205.691	205.470	205.592	1577	0	0
2024.07.05	03:45:00	205.592	205.617	205.316	205.597	2180	0	0
2024.07.05	04:00:00	205.597	205.663	205.382	205.483	1628	0	0
2024.07.05	04:15:00	205.483	205.631	205.403	205.617	1796	0	0
2024.07.05	04:30:00	205.617	205.620	205.504	205.528	1118	0	0
2024.07.05	04:45:00	205.528	205.555	205.458	205.537	1211	0	0
2024.07.05	05:00:00	205.537	205.576	205.455	205.528	1088	0	0
2024.07.05	05:15:00	205.528	205.553	205.440	205.471	926	0	0
2024.07.05	05:30:00	205.471	205.501	205.427	205.454	746	0	0
2024.07.05	05:45:00	205.454	205.484	205.423	205.445	553	0	0
2024.07.05	06:00:00	205.445	205.471	205.254	205.326	1295	0	0
2024.07.05	06:15:00	205.326	205.345	204.981	205.024	1896	0	0
2024.07.05	06:30:00	205.024	205.156	205.021	205.065	1300	0	0
2024.07.05	06:45:00	205.065	205.186	205.065	205.132	1095	0	0
2024.07.05	07:00:00	205.133	205.149	205.026	205.144	1238	0	0
2024.07.05	07:15:00	205.144	205.187	205.119	205.128	1305	0	0
2024.07.05	07:30:00	205.128	205.181	205.078	205.128	1103	0	0
2024.07.05	07:45:00	205.128	205.179	205.116	205.144	1162	0	0
2024.07.05	08:00:00	205.144	205.272	205.135	205.250	920	0	0
2024.07.05	08:15:00	205.250	205.271	205.179	205.191	728	0	0
2024.07.05	08:30:00	205.192	205.241	205.168	205.202	720	0	0
2024.07.05	08:45:00	205.202	205.207	205.131	205.177	667	0	0
2024.07.05	09:00:00	205.177	205.219	205.076	205.164	1409	0	0
2024.07.05	09:15:00	205.164	205.254	205.157	205.199	1362	0	0
2024.07.05	09:30:00	205.199	205.327	205.189	205.294	1487	0	0
2024.07.05	09:45:00	205.294	205.338	205.266	205.297	776	0	0
2024.07.05	10:00:00	205.297	205.355	205.105	205.355	1890	0	0
2024.07.05	10:15:00	205.353	205.360	205.227	205.337	1719	0	0
2024.07.05	10:30:00	205.337	205.456	205.293	205.433	1730	0	0
2024.07.05	10:45:00	205.433	205.520	205.413	205.472	1433	0	0
2024.07.05	11:00:00	205.472	205.472	205.365	205.387	1569	0	0
2024.07.05	11:15:00	205.387	205.449	205.367	205.399	1459	0	0
2024.07.05	11:30:00	205.399	205.414	205.259	205.413	1244	0	0
2024.07.05	11:45:00	205.413	205.432	205.343	205.413	922	0	0
2024.07.05	12:00:00	205.413	205.453	205.284	205.305	1365	0	0
2024.07.05	12:15:00	205.305	205.376	205.257	205.371	1202	0	0
2024.07.05	12:30:00	205.371	205.449	205.339	205.412	1282	0	0
2024.07.05	12:45:00	205.412	205.521	205.388	205.495	1340	0	0
2024.07.05	13:00:00	205.496	205.509	205.424	205.463	892	0	0
2024.07.05	13:15:00	205.462	205.528	205.438	205.516	1072	0	0
2024.07.05	13:30:00	205.516	205.520	205.439	205.491	893	0	0
2024.07.05	13:45:00	205.491	205.669	205.489	205.633	1104	0	0
2024.07.05	14:00:00	205.634	205.666	205.575	205.658	1517	0	0
2024.07.05	14:15:00	205.658	205.729	205.635	205.699	866	0	0
2024.07.05	14:30:00	205.699	205.731	205.659	205.659	937	0	0
2024.07.05	14:45:00	205.658	205.665	205.552	205.597	1254	0	0
2024.07.05	15:00:00	205.597	205.740	205.584	205.666	1517	0	0
2024.07.05	15:15:00	205.666	205.668	205.327	205.327	1926	0	0
2024.07.05	15:30:00	205.332	206.167	205.212	205.880	5028	0	0
2024.07.05	15:45:00	205.883	206.082	205.814	206.052	3982	0	0
2024.07.05	16:00:00	206.053	206.071	205.922	206.042	3659	0	0
2024.07.05	16:15:00	206.040	206.129	205.990	206.081	3117	0	0
2024.07.05	16:30:00	206.081	206.208	206.052	206.189	2687	0	0
2024.07.05	16:45:00	206.189	206.443	206.125	206.400	2889	0	0
2024.07.05	17:00:00	206.400	206.412	206.164	206.234	3180	0	0
2024.07.05	17:15:00	206.232	206.232	206.079	206.139	2490	0	0
2024.07.05	17:30:00	206.138	206.141	205.964	205.970	2646	0	0
2024.07.05	17:45:00	205.970	206.045	205.929	206.000	2730	0	0
2024.07.05	18:00:00	206.000	206.088	205.921	205.938	2863	0	0
2024.07.05	18:15:00	205.939	205.978	205.780	205.797	2606	0	0
2024.07.05	18:30:00	205.794	205.923	205.758	205.858	2017	0	0
2024.07.05	18:45:00	205.858	205.911	205.785	205.845	1460	0	0
2024.07.05	19:00:00	205.845	205.949	205.792	205.938	1339	0	0
2024.07.05	19:15:00	205.938	205.969	205.901	205.928	1155	0	0
2024.07.05	19:30:00	205.929	205.951	205.871	205.893	1140	0	0
2024.07.05	19:45:00	205.893	205.966	205.879	205.907	934	0	0
2024.07.05	20:00:00	205.908	205.990	205.895	205.952	1150	0	0
2024.07.05	20:15:00	205.952	205.953	205.910	205.939	732	0	0
2024.07.05	20:30:00	205.939	205.942	205.906	205.922	704	0	0
2024.07.05	20:45:00	205.922	205.962	205.914	205.942	905	0	0
2024.07.05	21:00:00	205.942	205.954	205.918	205.919	598	0	0
2024.07.05	21:15:00	205.919	205.950	205.897	205.903	663	0	0
2024.07.05	21:30:00	205.903	205.964	205.889	205.947	774	0	0
