<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.08	15:00:00	1.08239	1.08357	1.08217	1.08342	4064	0	0
2024.04.08	16:00:00	1.08342	1.08534	1.08342	1.08517	5069	0	0
2024.04.08	17:00:00	1.08517	1.08564	1.08436	1.08533	5183	0	0
2024.04.08	18:00:00	1.08533	1.08589	1.08494	1.08528	4004	0	0
2024.04.08	19:00:00	1.08528	1.08529	1.08468	1.08501	3111	0	0
2024.04.08	20:00:00	1.08501	1.08593	1.08494	1.08579	2322	0	0
2024.04.08	21:00:00	1.08579	1.08622	1.08557	1.08573	2020	0	0
2024.04.08	22:00:00	1.08573	1.08589	1.08559	1.08568	1773	0	0
2024.04.08	23:00:00	1.08568	1.08598	1.08563	1.08591	917	0	0
2024.04.09	00:00:00	1.08588	1.08611	1.08516	1.08589	1501	0	5
2024.04.09	01:00:00	1.08589	1.08612	1.08589	1.08605	439	0	0
2024.04.09	02:00:00	1.08605	1.08635	1.08605	1.08622	1437	0	0
2024.04.09	03:00:00	1.08622	1.08636	1.08578	1.08588	2187	0	0
2024.04.09	04:00:00	1.08588	1.08622	1.08571	1.08597	3220	0	0
2024.04.09	05:00:00	1.08597	1.08624	1.08559	1.08570	2000	0	0
2024.04.09	06:00:00	1.08570	1.08576	1.08541	1.08556	1332	0	0
2024.04.09	07:00:00	1.08556	1.08585	1.08555	1.08566	1234	0	0
2024.04.09	08:00:00	1.08566	1.08586	1.08561	1.08579	1276	0	0
2024.04.09	09:00:00	1.08579	1.08628	1.08512	1.08522	2663	0	0
2024.04.09	10:00:00	1.08522	1.08601	1.08515	1.08533	3583	0	0
2024.04.09	11:00:00	1.08533	1.08588	1.08493	1.08576	3013	0	0
2024.04.09	12:00:00	1.08576	1.08658	1.08565	1.08651	3285	0	0
2024.04.09	13:00:00	1.08651	1.08707	1.08651	1.08691	2486	0	0
2024.04.09	14:00:00	1.08691	1.08729	1.08593	1.08614	2952	0	0
2024.04.09	15:00:00	1.08614	1.08841	1.08603	1.08806	5043	0	0
2024.04.09	16:00:00	1.08806	1.08851	1.08761	1.08787	5331	0	0
2024.04.09	17:00:00	1.08787	1.08823	1.08532	1.08573	5741	0	0
2024.04.09	18:00:00	1.08573	1.08591	1.08523	1.08557	5241	0	0
2024.04.09	19:00:00	1.08557	1.08601	1.08537	1.08546	3956	0	0
2024.04.09	20:00:00	1.08546	1.08555	1.08511	1.08515	2504	0	0
2024.04.09	21:00:00	1.08515	1.08548	1.08501	1.08530	2171	0	0
2024.04.09	22:00:00	1.08530	1.08573	1.08477	1.08565	2741	0	0
2024.04.09	23:00:00	1.08565	1.08591	1.08556	1.08566	1208	0	0
2024.04.10	00:00:00	1.08569	1.08589	1.08514	1.08568	1546	0	1
