<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.09	21:00:00	4234.3	4255.0	4220.1	4242.4	12404	0	28
2025.08.09	22:00:00	4242.4	4271.6	4236.3	4259.9	8502	0	28
2025.08.09	23:00:00	4260.0	4294.4	4257.8	4283.7	10977	0	28
2025.08.10	00:00:00	4289.5	4300.0	4264.2	4281.1	6134	0	28
2025.08.10	01:00:00	4280.8	4327.6	4244.3	4266.0	13800	0	28
2025.08.10	02:00:00	4265.1	4275.1	4247.3	4261.2	9503	0	28
2025.08.10	03:00:00	4259.9	4334.2	4248.2	4312.3	12385	0	28
2025.08.10	04:00:00	4311.7	4324.0	4288.2	4300.8	15629	0	28
2025.08.10	05:00:00	4301.5	4305.3	4246.6	4246.6	13159	0	28
2025.08.10	06:00:00	4247.9	4258.2	4205.5	4242.3	17541	0	28
2025.08.10	07:00:00	4242.3	4264.7	4226.4	4251.3	13411	0	28
2025.08.10	08:00:00	4251.2	4252.1	4211.8	4219.8	12372	0	28
2025.08.10	09:00:00	4219.9	4234.3	4201.6	4222.7	12318	0	28
2025.08.10	10:00:00	4222.8	4232.5	4172.6	4183.5	14588	0	28
2025.08.10	13:00:00	4225.1	4232.5	4190.8	4196.8	12182	0	28
2025.08.10	14:00:00	4197.1	4221.3	4176.2	4179.9	12264	0	28
2025.08.10	15:00:00	4180.0	4201.6	4172.2	4200.8	11162	0	28
2025.08.10	16:00:00	4200.5	4205.3	4163.6	4165.6	11965	0	28
2025.08.10	17:00:00	4165.9	4226.8	4159.1	4218.8	13998	0	28
2025.08.10	18:00:00	4218.4	4236.3	4208.4	4216.4	12423	0	28
2025.08.10	19:00:00	4216.4	4241.2	4212.7	4233.5	12073	0	28
2025.08.10	20:00:00	4233.9	4247.4	4222.1	4222.9	10109	0	28
2025.08.10	21:00:00	4222.8	4236.8	4216.4	4235.5	7291	0	28
2025.08.10	22:00:00	4235.8	4259.4	4229.8	4248.1	8750	0	28
2025.08.10	23:00:00	4248.1	4249.8	4205.1	4230.4	12389	0	28
2025.08.11	00:00:00	4215.6	4223.7	4185.1	4223.0	9072	0	28
2025.08.11	01:00:00	4223.1	4251.5	4204.8	4249.3	18299	0	28
2025.08.11	02:00:00	4249.3	4255.0	4225.8	4250.1	20515	0	28
2025.08.11	03:00:00	4250.4	4284.5	4237.6	4262.9	21434	0	28
2025.08.11	04:00:00	4263.1	4327.3	4260.7	4305.1	22316	0	28
2025.08.11	05:00:00	4305.2	4342.5	4293.4	4309.4	23425	0	28
2025.08.11	06:00:00	4309.4	4312.2	4283.9	4309.5	15868	0	28
2025.08.11	07:00:00	4309.5	4349.7	4304.8	4317.7	17288	0	28
2025.08.11	08:00:00	4318.1	4330.8	4290.5	4305.3	21402	0	28
2025.08.11	09:00:00	4305.3	4312.1	4293.6	4298.1	16813	0	28
2025.08.11	10:00:00	4298.5	4303.9	4264.3	4273.0	11616	0	28
2025.08.11	11:00:00	4273.0	4284.3	4251.1	4280.4	6706	0	28
2025.08.11	12:00:00	4280.5	4282.7	4258.6	4264.2	10654	0	28
2025.08.11	13:00:00	4264.2	4267.7	4215.5	4234.2	14464	0	28
2025.08.11	14:00:00	4234.4	4237.6	4167.0	4182.6	11054	0	28
2025.08.11	15:00:00	4182.7	4193.4	4163.2	4181.3	11935	0	28
2025.08.11	16:00:00	4181.3	4299.0	4166.8	4277.7	17631	0	28
