<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.27	21:00:00	213.57	213.73	213.00	213.69	4756	0	11
2024.06.27	22:00:00	213.68	214.02	213.08	214.02	5839	0	11
2024.06.28	16:00:00	215.82	215.98	213.51	214.25	4561	0	11
2024.06.28	17:00:00	214.25	215.46	213.88	214.31	8227	0	11
2024.06.28	18:00:00	214.31	214.67	213.71	214.13	6839	0	11
2024.06.28	19:00:00	214.13	214.30	213.21	213.89	6784	0	11
2024.06.28	20:00:00	213.89	214.46	213.56	213.87	4879	0	11
2024.06.28	21:00:00	213.87	214.02	213.02	213.09	4787	0	11
2024.06.28	22:00:00	213.09	213.55	210.23	210.28	12086	0	11
2024.07.01	16:00:00	211.97	213.97	211.86	213.09	5871	0	11
2024.07.01	17:00:00	213.09	215.54	212.71	215.29	14001	0	11
2024.07.01	18:00:00	215.28	215.67	214.28	215.61	9108	0	11
2024.07.01	19:00:00	215.63	217.44	215.27	216.93	9422	0	11
2024.07.01	20:00:00	216.92	217.45	216.26	216.66	7818	0	11
2024.07.01	21:00:00	216.65	216.84	215.37	215.69	6680	0	11
2024.07.01	22:00:00	215.69	216.94	215.08	216.65	8005	0	11
2024.07.02	16:00:00	216.08	217.94	215.01	217.89	4892	0	11
2024.07.02	17:00:00	217.89	219.79	217.59	219.47	8122	0	11
2024.07.02	18:00:00	219.47	220.27	218.93	219.20	6344	0	11
2024.07.02	19:00:00	219.19	219.38	218.70	219.11	4391	0	11
2024.07.02	20:00:00	219.11	219.81	218.77	219.52	3182	0	11
2024.07.02	21:00:00	219.53	220.26	219.41	219.73	2955	0	11
2024.07.02	22:00:00	219.73	220.29	219.45	220.27	4240	0	11
2024.07.03	16:00:00	219.91	221.26	219.55	221.03	5613	0	11
2024.07.03	17:00:00	221.03	221.34	218.96	220.46	8819	0	11
2024.07.03	18:00:00	220.46	220.66	219.71	220.25	5020	0	11
2024.07.03	19:00:00	220.25	221.48	220.25	221.41	5852	0	11
2024.07.05	16:00:00	221.67	224.48	221.61	224.01	4461	0	11
2024.07.05	17:00:00	224.01	225.37	223.78	224.17	8515	0	11
2024.07.05	18:00:00	224.19	225.36	224.08	225.23	5207	0	11
2024.07.05	19:00:00	225.23	225.35	224.67	225.01	4148	0	11
2024.07.05	20:00:00	225.01	225.58	224.83	225.08	3399	0	11
2024.07.05	21:00:00	225.08	225.45	224.92	225.18	3099	0	11
