<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.18	15:00:00	4320.81	4324.13	4314.68	4316.45	5068	0	9
2025.12.18	15:15:00	4316.43	4323.91	4316.03	4321.10	5178	0	9
2025.12.18	15:30:00	4321.14	4338.36	4320.75	4336.70	7346	0	9
2025.12.18	15:45:00	4336.66	4343.09	4335.08	4336.64	6566	0	9
2025.12.18	16:00:00	4336.63	4341.51	4333.03	4336.35	6414	0	9
2025.12.18	16:15:00	4336.33	4338.97	4332.43	4332.64	5747	0	9
2025.12.18	16:30:00	4332.66	4341.25	4311.49	4314.24	10131	0	9
2025.12.18	16:45:00	4314.24	4330.25	4308.62	4328.65	9419	0	9
2025.12.18	17:00:00	4328.70	4337.02	4326.65	4330.65	8252	0	9
2025.12.18	17:15:00	4330.61	4334.35	4325.02	4333.45	8437	0	9
2025.12.18	17:30:00	4333.37	4341.68	4331.31	4337.60	7107	0	9
2025.12.18	17:45:00	4337.41	4340.98	4334.48	4338.18	7127	0	9
2025.12.18	18:00:00	4338.20	4368.10	4337.79	4362.45	7432	0	9
2025.12.18	18:15:00	4362.37	4374.62	4362.20	4367.42	8105	0	9
2025.12.18	18:30:00	4367.39	4371.86	4363.50	4367.28	6584	0	9
2025.12.18	18:45:00	4367.16	4369.64	4356.34	4360.37	6686	0	9
2025.12.18	19:00:00	4360.35	4363.50	4322.50	4328.40	9409	0	9
2025.12.18	19:15:00	4328.39	4332.94	4322.20	4327.92	8529	0	9
2025.12.18	19:30:00	4327.88	4341.51	4326.34	4337.30	6985	0	9
2025.12.18	19:45:00	4337.38	4338.39	4324.98	4333.31	6483	0	9
2025.12.18	20:00:00	4333.34	4340.95	4331.63	4339.51	5503	0	9
2025.12.18	20:15:00	4339.48	4341.30	4331.89	4332.14	6239	0	9
2025.12.18	20:30:00	4332.18	4340.30	4331.91	4333.87	5196	0	9
2025.12.18	20:45:00	4333.87	4334.47	4325.74	4331.81	5018	0	9
2025.12.18	21:00:00	4331.81	4332.97	4326.52	4329.26	4405	0	9
2025.12.18	21:15:00	4329.26	4334.28	4328.57	4333.67	5158	0	9
2025.12.18	21:30:00	4333.67	4334.92	4327.64	4329.64	4999	0	9
2025.12.18	21:45:00	4329.59	4330.65	4322.79	4324.97	5640	0	9
2025.12.18	22:00:00	4324.99	4336.08	4324.57	4333.74	5736	0	9
2025.12.18	22:15:00	4333.73	4334.05	4328.46	4332.46	5000	0	9
2025.12.18	22:30:00	4332.46	4338.37	4331.17	4336.10	5135	0	9
2025.12.18	22:45:00	4336.09	4336.40	4332.33	4335.02	5152	0	9
2025.12.18	23:00:00	4335.05	4335.06	4331.41	4332.75	1726	0	9
2025.12.18	23:15:00	4332.73	4333.10	4330.77	4332.09	1771	0	9
2025.12.18	23:30:00	4331.99	4332.75	4328.55	4330.93	1339	0	9
2025.12.18	23:45:00	4330.93	4334.05	4330.93	4332.79	1374	0	9
2025.12.19	01:00:00	4335.68	4336.32	4334.58	4334.70	408	0	9
2025.12.19	01:15:00	4334.70	4336.53	4333.99	4334.06	747	0	9
2025.12.19	01:30:00	4334.06	4335.52	4333.51	4334.06	784	0	9
2025.12.19	01:45:00	4334.06	4337.00	4333.81	4335.08	998	0	9
2025.12.19	02:00:00	4335.10	4335.74	4329.38	4329.95	1648	0	9
2025.12.19	02:15:00	4329.95	4332.19	4328.02	4331.39	1375	0	9
2025.12.19	02:30:00	4331.40	4332.47	4327.92	4328.50	984	0	9
2025.12.19	02:45:00	4328.48	4331.18	4325.81	4326.11	1529	0	9
2025.12.19	03:00:00	4326.11	4327.51	4320.53	4325.81	4756	0	9
2025.12.19	03:15:00	4325.84	4328.52	4310.33	4313.22	4507	0	9
2025.12.19	03:30:00	4313.22	4318.94	4309.25	4317.41	4583	0	9
2025.12.19	03:45:00	4317.42	4324.06	4316.80	4323.32	3717	0	9
2025.12.19	04:00:00	4323.32	4327.87	4323.32	4324.34	2580	0	9
2025.12.19	04:15:00	4324.29	4324.77	4321.76	4324.64	1342	0	9
2025.12.19	04:30:00	4324.64	4326.10	4314.78	4316.09	2642	0	9
2025.12.19	04:45:00	4316.11	4318.65	4314.33	4316.83	2603	0	9
2025.12.19	05:00:00	4316.82	4318.02	4312.73	4316.43	3122	0	9
2025.12.19	05:15:00	4316.41	4321.73	4313.07	4319.30	3163	0	9
2025.12.19	05:30:00	4319.37	4322.61	4317.32	4319.13	1969	0	9
2025.12.19	05:45:00	4319.65	4320.99	4317.72	4318.09	1756	0	9
2025.12.19	06:00:00	4318.13	4319.87	4317.81	4319.08	1631	0	9
2025.12.19	06:15:00	4319.13	4319.91	4316.99	4317.56	3139	0	9
2025.12.19	06:30:00	4317.60	4321.59	4317.39	4320.50	3040	0	9
2025.12.19	06:45:00	4320.50	4323.02	4319.64	4322.78	2345	0	9
2025.12.19	07:00:00	4322.79	4323.93	4318.51	4318.73	2076	0	9
2025.12.19	07:15:00	4318.74	4320.71	4317.64	4319.98	1609	0	9
2025.12.19	07:30:00	4320.03	4326.60	4319.98	4325.24	4170	0	9
2025.12.19	07:45:00	4325.24	4329.10	4325.04	4326.03	5493	0	9
2025.12.19	08:00:00	4326.03	4327.55	4324.19	4327.30	3360	0	9
2025.12.19	08:15:00	4327.33	4329.47	4326.34	4327.09	3766	0	9
2025.12.19	08:30:00	4327.19	4328.21	4321.67	4324.20	4280	0	9
2025.12.19	08:45:00	4324.20	4327.24	4322.55	4326.47	3818	0	9
2025.12.19	09:00:00	4326.37	4328.48	4323.19	4327.31	3018	0	9
2025.12.19	09:15:00	4327.33	4327.83	4323.27	4327.56	2860	0	9
2025.12.19	09:30:00	4327.60	4329.62	4324.91	4324.94	2332	0	9
2025.12.19	09:45:00	4324.98	4325.49	4321.62	4322.72	2848	0	9
2025.12.19	10:00:00	4322.63	4324.81	4321.15	4322.87	2748	0	9
2025.12.19	10:15:00	4322.87	4326.14	4322.50	4325.12	2323	0	9
2025.12.19	10:30:00	4325.13	4331.11	4324.96	4328.06	2906	0	9
2025.12.19	10:45:00	4328.06	4328.66	4325.92	4326.08	2382	0	9
2025.12.19	11:00:00	4326.08	4327.51	4324.44	4326.81	2038	0	9
2025.12.19	11:15:00	4326.81	4328.38	4325.93	4326.93	1880	0	9
